subj_idx,block,trial,Vstim,Astim,match,response,result,rt,fb,V-file,A-file
2,3,18,3,2,0,1,1,0.895,1,<U+10AA>,DEU_r_1.wav
2,3,19,1,3,0,1,1,1.082,1,<U+10A7>,DEU_a_short.wav
2,3,20,3,3,1,2,1,0.989,1,<U+10AA>,DEU_a_short.wav
2,3,21,2,1,0,1,1,0.795,1,<U+10C2>,DEU_e_1.wav
2,3,22,3,3,1,2,1,0.91,1,<U+10AA>,DEU_a_short.wav
2,3,23,1,1,1,2,1,1.064,1,<U+10A7>,DEU_e_1.wav
2,3,24,2,2,1,2,1,0.998,1,<U+10C2>,DEU_r_1.wav
2,3,25,3,2,0,1,1,1.066,1,<U+10AA>,DEU_r_1.wav
2,3,26,2,2,1,2,1,1.715,1,<U+10C2>,DEU_r_1.wav
2,3,27,3,3,1,2,1,1.028,1,<U+10AA>,DEU_a_short.wav
2,3,28,1,1,1,2,1,1.032,1,<U+10A7>,DEU_e_1.wav
2,3,29,2,2,1,2,1,0.911,1,<U+10C2>,DEU_r_1.wav
2,3,30,1,1,1,2,1,0.899,1,<U+10A7>,DEU_e_1.wav
2,4,1,2,2,1,1,0,1.566,0,<U+10C5>,DEU_h.wav
2,4,2,1,1,1,1,0,1.793,0,<U+10BE>,DEU_s_1.wav
2,4,3,2,2,1,2,1,1.107,1,<U+10C5>,DEU_h.wav
2,4,4,1,3,0,1,1,1.776,1,<U+10BE>,DEU_l_1.wav
2,4,5,3,2,0,1,1,1.448,1,<U+10AB>,DEU_h.wav
2,4,6,2,1,0,1,1,1.389,1,<U+10C5>,DEU_s_1.wav
2,4,7,1,3,0,1,1,1.801,1,<U+10BE>,DEU_l_1.wav
2,4,8,3,3,1,2,1,1.049,1,<U+10AB>,DEU_l_1.wav
2,4,9,1,3,0,1,1,1.147,1,<U+10BE>,DEU_l_1.wav
2,4,10,2,1,0,1,1,1.082,1,<U+10C5>,DEU_s_1.wav
2,4,11,3,2,0,1,1,1.834,1,<U+10AB>,DEU_h.wav
2,4,12,1,3,0,1,1,1.835,1,<U+10BE>,DEU_l_1.wav
2,4,13,3,3,1,2,1,0.984,1,<U+10AB>,DEU_l_1.wav
2,4,14,1,1,1,2,1,0.951,1,<U+10BE>,DEU_s_1.wav
2,4,15,3,2,0,1,1,1.545,1,<U+10AB>,DEU_h.wav
2,4,16,2,2,1,2,1,0.988,1,<U+10C5>,DEU_h.wav
2,4,17,3,2,0,1,1,1.256,1,<U+10AB>,DEU_h.wav
2,4,18,1,1,1,2,1,0.898,1,<U+10BE>,DEU_s_1.wav
2,4,19,2,1,0,1,1,0.765,1,<U+10C5>,DEU_s_1.wav
2,4,20,3,2,0,1,1,1.148,1,<U+10AB>,DEU_h.wav
2,4,21,2,2,1,2,1,0.863,1,<U+10C5>,DEU_h.wav
2,4,22,1,3,0,1,1,0.958,1,<U+10BE>,DEU_l_1.wav
2,4,23,2,1,0,1,1,0.935,1,<U+10C5>,DEU_s_1.wav
